Wavelength,Flux,BestFit,SkyFlux
4264.813,5.777,7.653,40.225
4265.796,5.347,7.244,40.515
4266.778,4.406,6.807,40.579
4267.759,6.046,6.474,40.372
4268.743,5.136,6.414,39.230
4269.725,6.799,6.233,37.273
4270.710,7.353,6.163,34.674
4271.692,4.629,6.908,32.125
4272.677,9.046,7.720,30.365
4273.660,9.153,8.066,30.838
4274.644,6.698,8.293,32.639
4275.629,5.159,8.792,34.284
4276.613,5.162,8.950,35.505
4277.599,8.925,9.028,36.864
4278.583,8.292,8.955,38.379
4279.570,9.678,8.655,38.841
4280.554,5.309,8.411,37.671
4281.539,8.123,8.659,36.203
4282.526,7.381,8.710,35.710
4283.511,7.268,8.575,36.424
4284.499,9.511,8.732,37.347
4285.485,7.845,8.908,36.929
4286.473,5.983,8.551,34.942
4287.459,7.372,8.387,33.792
4288.446,7.776,8.474,33.994
4289.434,7.050,7.700,33.759
4290.421,7.896,7.265,31.176
4291.411,6.218,7.364,30.465
4292.398,3.754,6.986,32.492
4293.388,5.300,6.886,35.335
4294.375,4.350,7.421,35.871
4295.363,6.382,7.459,34.598
4296.354,8.823,7.502,34.071
4297.342,8.290,7.936,33.340
4298.333,7.705,8.406,31.115
4299.322,8.339,8.843,28.012
4300.313,9.090,9.154,25.369
4301.303,11.035,9.321,24.400
4302.292,9.569,9.562,25.210
4303.284,9.724,9.886,26.184
4304.274,10.495,10.090,26.269
4305.267,11.677,10.176,26.099
4306.257,13.750,10.214,26.479
4307.250,9.807,10.637,26.146
4308.241,9.781,10.636,24.749
4309.232,9.136,10.271,23.961
4310.226,9.068,10.259,23.821
4311.217,11.671,9.909,24.492
4312.212,9.409,9.902,26.456
4313.204,6.895,9.739,28.882
4314.198,8.176,9.584,31.038
4315.191,9.445,9.497,34.168
4316.183,9.118,9.229,38.050
4317.179,6.432,8.922,40.917
4318.172,7.089,8.818,42.541
4319.168,8.534,8.396,42.757
4320.161,7.265,8.050,41.923
4321.157,6.047,7.626,41.142
4322.152,8.103,6.858,39.818
4323.146,8.828,7.092,37.115
4324.143,5.324,7.340,33.825
4325.137,5.697,7.053,30.301
4326.135,4.326,6.844,27.816
4327.130,5.551,7.092,29.029
4328.128,7.025,7.565,33.033
4329.124,9.527,8.124,36.823
4330.119,8.959,8.742,39.306
